               uid                |       mid        |                                                                                                                                             blog_content                                                                                                                                              
----------------------------------+------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2a8faf260ff24f357e02d653a0523cf0 | 3859571334161704 | 报姐，你抽我我祝你减肥成功，想减多少减多少[拜拜]不抽我就把我身上的肉送给你吧[纠结]不准模仿我！！不然反弹反弹反弹！！！
 2ac77432656ac80c8a7ccce9177e8939 | 3859442288587853 | 有两首魔性的歌：再回首 今夜还吹着风 再回首 想起你好温柔 有你的日子分外的轻松~~~ 亲爱的人 亲密的爱人 不管明天要面对多少伤痛和迷惑~~~~完了完了彻底乱了哈哈哈哈
 2ac92a127fcc49063cad0f74ddf6df47 | 3859311376088053 | 【爆破猫咪】《爆破猫咪》在弹射玩法上并无突破，依然是长按住猫咪，松手，发射。当然，玩家在做出这一动作时，需要根据宝石，太阳，待拯救的同伴的实际位置情况进行操作。其实，玩家一眼就能看出这些东西。贾霸在此就不再过多强调游戏的玩法云云。总之，游戏的玩法是大家熟悉的，完全不会有陌生感
 2ad1879b968cdc3ba781d6b6baad1cfb | 3859237010687456 | 华尔街，你挡不住我的，因为我已经来到了美国。即将演绎新一代的华尔街之狼。[酷]总有种预感，有一天我也在世界金融大佬的名单里。总之，或许因为毫无根据的自信了。[哈哈]
 2ade99155ff10e568c3cd4c3581ccff6 | 3859362957319619 | 6·29股灾说明政府彻底败给了市场 回过头谈6·29股灾，正如我在前一天的文章中所评价，如果今天股市大跌，那就说明政府彻底败给了市场，将是一个历史事件。 从周末的央行降息降准， ...(发自@微博桌面 
 2adfaefa690b17a4a45ad3c09187a0e3 | 3859349317647924 | 【今冬再降瑞雪 天津港生产稳定有序】为缓解降雪对港口生产造成的影响，天津港集团公司根据天气变化迅速启动清融雪预案。截至21日中午12时，出动环卫职工530人次、洒水车12辆、刮雪板车13部。截至21日晚，港区主要道路积雪全部清除，17条主干道路保持畅通，次干道路也基本具备通车
 2ae0e5d3b7417e35c40fc4e4640539d3 | 3859544130449636 | 希望特哥担纲主MC//@韩都衣舍SuperJunior粉丝团:期待期待期待！！wuli MC特！！！
 2af054f15bf624b28e3b3a0b61e9fa22 | 3859445081770117 | 最开心就是我也能像姐姐一样带爸妈吃好的，逛街！下一步努力挣钱带她们出国旅游[噢耶][噢耶][噢耶][噢耶] 只要他们开心我也感觉超级幸福[饞嘴][饞嘴][饞嘴] 
 2af3fcde640e3a7271d66ca1b2131f41 | 3859493828152612 | 外资做空中国//@谢开聪:市场是敏锐的，哪里有漏洞或者错误价格，哪里就有借机牟利的尝试。
 2b0e9229a28e7d1fd925e5d410b7a23d | 3859491109747049 | 发表了博文《马尼拉草坪价格市场行情分析》马尼拉草坪市场行情分析，马尼拉草坪属于暖季型草坪，耐践踏，耐修剪，耐寒，耐旱，广泛应用于园林绿化，庭院绿化及道路绿化，是草坪的常见品种之一。一、马尼拉草坪市场供
 2b0fdb9fc1662fbce3e7d0076a84d2b4 | 3859502837417596 | 【[话筒]未经同意就给你发商业短信 他要被罚！】今天起，《通信短信息服务管理规定》开始施行：短信息服务需向用户收费的，应保证计费符合相关规定标准；未经用户同意，不得向其发送商业性短信息。基础电信业务经营者、短信息内容提供者如违反上述规定，将被处以1-3万元罚款。（央视）
 2b111a7de8277bf531db96e97bcc9e10 | 3859263950831334 | #钟汉良# #钟汉良捉妖记# 期待期待期待[鼓掌][鼓掌][鼓掌]
 2b257c8bbeddf84edcfec0f145dc223d | 3859329624856655 | #自选股#纳指重挫2.4% 跌破5000点大关  来自:@腾讯自选股 A股成功的这次领导了全球金融市场！任务完成了！可以反弹了！ 
 2b318b8afda3ef9db4c89228c08e290c | 3859416732897413 | 加油荣耀！加油华为！//@华为花粉俱乐部: #荣耀7发布会#【7777个优购码】在今天的发布会直播过程中，会有7777个#荣耀7#优购码放出。想要的粉粉们记得持续关注花部长的直播哟。再次提醒大家，优购码的使用时间是6月30日19:07—24:00。花粉俱乐部官网也将进行视频直播哦。 
 2b3f37164606f2fbb26b23106ea39275 | 3859448131394158 | 完了完了完了 我又hold不住了😂😂😂
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859459338252425 | @清廉族铲除腐败贪官: //@你们比窦娥冤@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859343290453618 | //@天恕3: //@你们比窦娥冤:@沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859460030235930 | : @手机用户1946829491@你们比窦娥冤:@沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859526770398963 | @坚持到底追求完美: //@你们比窦娥冤:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859526954901662 | //@坚持到底追求完美: @沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859333928746361 | //@咖啡密码锁: //@你们比窦娥冤: @沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859547469325860 | @黑龙江省刘彦娥: //:@破茧成蝶3366: //@你们比窦娥冤:@沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859335417466205 | //@清廉族铲除腐败贪官: //@你们比窦娥冤@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859410436937112 | @福建陈美莲: //@你们比窦娥冤: @沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859547536260079 | @破茧成蝶3366: //@你们比窦娥冤:@沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859457924661729 | @清廉族铲除腐败贪官: //@你们比窦娥冤@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
 2b4d8cd3bfbaf3cd69f1b07e62bb1845 | 3859334964535019 | @我会掉色H: //@沧海雄枭:@人民日报 @央视新闻 //@头条全球新闻: @中国正义联盟团：司法腐败,[赞] 警匪一家！ @捉拿贪官网: 宝鸡警察比土匪厉害！陕西无人官的冤案?: 贪官法贼横行霸道的地方，就是平民百姓的人间地狱[话筒]@反黑不怕狗咬 :公开举报宝鸡警匪队长？ 黑省，黑警，黑心?
