               uid                |       mid        |      blog_time      |                                                                                                                                                blog_content                                                                                                                                                |               blog_url                
 8bf161b16512c6d20e73db71a1003ba4 | 3858913235341925 | 2015-06-29 03:34:33 | 发表了博文《为“灰飞烟灭”点赞》5月28日被称为“史上最严禁烟令”审议通过，并于6月1日开始正式实施。新政对禁烟要求严格，北京市所有“带顶”的公共场所、工作场所和公共交通工具都禁止吸烟，违反规定的烟民                                                                                           | 
 8bf70177b3fa7bccba7e983fb8618ddd | 3858961600293051 | 2015-06-29 06:46:43 | 【三星第一HTC第九 2013Q1手机销量榜出炉】2013年第一季度智能机销量排行榜再一次出炉了，本次的市场研究机构是Analysys International，根据其发布的最新数据显示，2013年第一季度，中国大陆市场共售出9054万部手机，环比增长23.5%，同比增长                                                                          | 
 8bf837a211d1ecbeb33d8460ff4ad97a | 3859069289104601 | 2015-06-29 13:54:39 | 有资金开始抄底了，是快速反弹还是缓慢筑底？还是快弹继续跌？难说！再跌，场内融资盘是痛苦的，不割都不行。                                                                                                                                                                                                     | 
 8c09234cb9687a4cdbe261a319afe0e6 | 3858869622950367 | 2015-06-29 00:41:11 | #周一股市# 股市好好的，给人民造富，给国家造福。改革刚刚开始，后面还要面对香港同胞，可不能打脸。技术上走坏了没关系，我们都有信心，一起慢慢前进。                                                                                                                                                            | 
 8c10d316032a161bba4e6680227e63b9 | 3858981933615521 | 2015-06-29 08:07:31 | 注重办案质量重视办案时效 做为债权人的咨询方谈自己的观点，执法部门按自己的办案进度办理，意见仅供参考，执法的独立性不受干扰，不仅不受干扰还对促进执法的客观公正建设有意义。毫无疑问，国家的任何税收优惠政策都对国家经济发展是有利的，它不                                                                    | 
 8c3b840e9b5b6aaa8c7c8f3d6de38597 | 3859000167000711 | 2015-06-29 09:19:59 | 亲们看看菜价哟 农产品市场价格行情                                                                                                                                                                                                                                                       | 
 8c42ff48ec489cbedf01867a2b55df64 | 3859020831710271 | 2015-06-29 10:42:06 | 前两天预见性的谈过希腊资本管制的问题。【希腊的最后时刻 】肖磊在接受记者采访时就指出，资本管制有一定必要，但治标不治本。即便是通过管制应付眼前银行的挤兑危机，但这部分资本并不能有效地转化为国内投资和消费，从长期看严重影响希腊的信誉、融资，这对经济的伤害会更加持久                   | 
 8c42ff48ec489cbedf01867a2b55df64 | 3859180156494090 | 2015-06-29 21:15:12 | 100%都投到股市，对股市来说也意义不大。中国跟美国不同，中国股市里50%以上的市值都是国家的，养老金入市跟国有股扩容道理一样，不会改变中国股市的结构性问题。另外，就算全都入市，也不过三万亿，当接盘侠可以，继续吹大泡沫难。美国养老金余额180万亿人民币中国养老金3万亿人民，学美国？                            | 
 8c59373a789a750464d6b6650a6a5ed8 | 3858951727044573 | 2015-06-29 06:07:30 | 【传iPhone 5S将会在今年7月份抵达中国移动】美国投资公司 Wedge Partners 分析师布莱恩•布莱尔( Brian Blair )今天在报告中表示，苹果已经中国移动（China Mobile）达成协议，中国移动将会在今年 7 月份开始运营苹果最新的 iPhon                                                                                      | 
 8c9709d96d21216f5e6f6deeda7ed531 | 3858999289817805 | 2015-06-29 09:16:30 | [养老金入市方案最快本周发布投资股市不超3成]多位接近人社部的人士表示,养老金入市办法基本已有定案,将于近日发布,投资股市的比例最高可能不会超过30%。人社部将于6月30日召开“中国社会保险发展年度报告(2014)”新闻发布会,届时可能会有进一步的消息。                                                                  | 
